Developer / Researcher,Treatment vs. Vaccine,Product Category,Stage of Development,Anticipated Next Steps,Product Description,Clinical Trials for COVID-19,Funder,Published Results,Clinical Trials for Other Diseases (T only) / Related Use or Platform (V only),FDA-Approved Indications,Sources,Date Last Updated
"Multiple global research sponsors, including New York State Department of Health, Johns Hopkins University, the Feinstein Institutes; RECOVERY trial",Treatment,Antibodies,Clinical,"Mayo Clinic and Houston Methodist trial results published June 2020, other trials ongoing",Convalescent plasma (blood plasma from recovered patients),"Many expanded access, observational, patient registry, plasma collection, prevention, and other studies listed in clinicaltrials.gov, including: NCT04321421, NCT04292340, NCT04316728, NCT04338360, NCT04345289, NCT04349410, NCT04346589, NCT04333251, NCT04361253, NCT04323800, NCT04359810, NCT04362176, NCT04354831, NCT04360486, NCT04321421, NCT04441424",Bloomberg Philantropies and the State of Maryland (to Johns Hopkins University)/Biomedical Advanced Research and Development Authority (BARDA) (to Mayo Clinic),"medRxiv (https://doi.org/10.1101/2020.03.16.20036145), JAMA (https://jamanetwork.com/journals/jama/fullarticle/2763983), medRxiv (https://doi.org/10.1101/2020.04.07.20056440), JAMA Network (https://jamanetwork.com/journals/jama/fullarticle/2763982), medRxiv (https://doi.org/10.1101/2020.05.08.20095471), medRxiv (https://doi.org/10.1101/2020.05.12.20099879), Amer J Pathology (https://ajp.amjpathol.org/article/S0002-9440(20)30257-1/fulltext), medRxiv (https://doi.org/10.1101/2020.05.20.20102236), JAMA (https://jamanetwork.com/journals/jama/article-abstract/2766943), JAMA (https://jamanetwork.com/journals/jama/fullarticle/2766940), (https://ctmirror.org/2020/05/17/cautious-enthusiasm-for-plasma-treatment-in-covid-19-cases/), (https://www.wbtv.com/2020/06/11/novant-health-physicians-say-convalescent-plasma-therapy-is-showing-promising-results-covid-fight/), medRxiv (https://doi.org/10.1101/2020.06.05.20122820), medRxiv (https://doi.org/10.1101/2020.05.26.20113373), medRxiv (https://doi.org/10.1101/2020.05.21.20109512), medRxiv (https://doi.org/10.1101/2020.06.15.20132407), medRxiv (https://doi.org/10.1101/2020.06.19.20135830), medRxiv (https://doi.org/10.1101/2020.06.21.20132944), Mayo Clinic Proceedings (https://mayoclinicproceedings.org/pb/assets/raw/Health%20Advance/journals/jmcp/jmcp_ft95_6_8.pdf), medRxiv (https://doi.org/10.1101/2020.06.24.20121905)",,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/30/2020
Cerecor,Treatment,Antibodies,Clinical,"Phase 2 to start in June 2020, top line data expected 4Q 2020","CERC-002, anti-LIGHT monoclonal antibody",,Unknown,,Pediatric Crohn's Disease,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/2/2020
Celltrion,Treatment,Antibodies,Clinical,Phase II trial to start in June 2020,"Remsima (infliximab), anti-TNF antibody",,Unknown,,,"FDA-approved since 2016, approved to treat various autoimmune diseases",https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/12/2020
Tychan/ SingHealth Investigational Medicine Unit,Treatment,Antibodies,Clinical,Phase I started June 2020; efficacy data expected 3Q 2020,"TY027, monoclonal antibody targeting SARS-CoV-2",,,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/17/2020
IGY Life Sciences/ MMS Holdings/ Canadian Government National Microbiology Lab,Treatment,Antibodies,Pre-clinical,,"IgY-110, anti-CoV-2 antibody (nasal spary application)",,,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/17/2020
"Alliance
  - Proteona/ NMI/ NUS Enterprise/10X Genomics; NovogeneAIT/ Twist Bioscience/
  University Hospitals",Treatment,Antibodies,Pre-clinical,,Antibody for immunocompromised patients,,,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/17/2020
"Virna
  Therapeutics/ University of Toronto",Treatment,Antibodies,Pre-clinical,,Neutralizing antibodies,,,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/17/2020
"Kiniksa/
  Cleveland Clinic/ Ospedale San Raffaele",Treatment,Antibodies,Clinical,Phase II trial recruiting June 2020; Case reports published June 2020,"mavrilimumab, anti-granulocyte-macrophase colony-stimunlating factor receptor-alpha monoclonal antibody","NCT04399980, NCT04397497",,Lancet (https://doi.org/10.1016/S2665-9913(20)30170-3),Giant cell arteritis (GCA); rheumatoid arthritis; large B-cell lymphoma (with Yescarta),N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/22/2020
Staidson/ Pivotal,Treatment,Antibodies,Clinical,Unknown,"BDB-100, monocloncal anti-C5a antibody",,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/26/2020
Tiziana Life Sciences,Treatment,Antibodies,Pre-clinical,Plan to initiate Phase 1 in Q1 2021,"TZLS-501, an anti-interleukin-6 receptor monoclonal antibody (inhalation technology in development)",,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/1/2020
"SCORE consortium (universities of Aix-Marseille, Leuven, Utrecht, Bern, and Lubeck), the Helmholtz Centre for Infection Research, and Janssen Pharmaceutica NV",Treatment,Antivirals,Pre-clinical,Unknown,Antiviral drug combinations,,EU Commission (Horizon 2020 Program),,,Unknown,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
"Beech Tree Labs
",Treatment,Antivirals,Clinical,"Has been used in 36 patients anecdotally","BTL-tml
",,Unknown,,"Treatment of herpes virus infections
",N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,5/5/2020
BioCryst Pharmaceuticals,Treatment,Antivirals,Clinical,Phase Ib recruiting May 2020,galidesivir,NCT03891420,National Institute of Allergy and Infectious Diseases (NIAID),,Treatment of yellow fever,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,5/7/2020
Acer Therapeutics / US National Center for Advancing Translational Sciences (NCATS),Treatment,Antivirals,Clinical,Phase II/III to start in Q3 2020,"emetine hydrochloride
",,Unknown,,"To treat viral hepatitis and varicella-virus
",N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,5/13/2020
Ansun Biopharma / Renmin Hospital of Wuhan University,Treatment,Antivirals,Clinical,Individual patient expanded access finding released in May 2020; Phase II/III started enrolling in May 2020,"DAS181, recombinant sialidase (nebulized)
","NCT03808922

NCT04354389

NCT04298060

NCT04324489",Unknown,PR Newswire (https://www.prnewswire.com/news-releases/ansun-biopharma-announces-positive-results-from-investigator-initiated-trial-of-novel-covid-19-treatment-301033871.html),Treatment of lower respiratory tract parainfluenza virus infections and severe influenza infections,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,5/5/2020
"Fujifilm Toyama Chemical / Zhejiang Hisun Pharmaceuticals/numerous trials with global research sponsors / Brigham and Women's Hospital, Massachusetts General Hospital, and the University of Massachusetts Medical School / Glenmark Pharmaceuticals",Treatment,Antivirals,Clinical,Fuijfilm trial to continue into July 2020; Phase III trial in India started May 2020 with results expected by July/August 2020 (Glenmark),"Favilavir/Favipiravir/T-705/Avigan, licensed in Japan to treat influenza","NCT04303299

NCT04310228

ChiCTR2000029548

ChiCTR2000029496

ChiCTR2000029544         

ChiCTR2000030254

NCT04336904

NCT04333589

NCT04345419",Life Arc (FLARE trial; PIONEER trial),"medRxiv (https://doi.org/10.1101/2020.03.17.20037432), medRxiv (https://doi.org/10.1101/2020.04.21.20066761), Kyodo News (https://english.kyodonews.net/news/2020/05/fce701d4d88d-antiflu-avigan-not-showing-apparent-efficacy-in-coronavirus-treatment.html), Critical Care (https://doi.org/10.1186/s13054-020-03078-z)",,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/9/2020
ViralClear Pharmaceuticals,Treatment,Antivirals,Pre-clinical,Unknown,"Vicromax, broad spectrum antiviral",,Unknown,,,,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
ISR Immune System Regulation,Treatment,Antivirals,Pre-clinical,Unknown,ISR-50,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
Bukwang Pharm,Treatment,Antivirals,Clinical,Phase II trial not yet recruiting,Levovir (clevudine),NCT04347915,Unknown,,,,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,5/7/2020
Agastiya Biotech,Treatment,Antivirals,Pre-clinical,Phase I to start in 2020,AB001,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,4/24/2020
Cocrystal Pharma,Treatment,Antivirals,Pre-clinical,Unknown,Antiviral compounds,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
Ridgeback Biotherapeutics / Drug Innovation Ventures at Emory (DRIVE)/ Merck,Treatment,Antivirals,Clinical,Phase II trial started June 2020,"EIDD-2801, oral ribonucleoside analog","NCT04405739, NCT04405570, NCT04392219",Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/9/2020
Ascletis / Chinese research sponsors,Treatment,Antivirals,Clinical,Phase III trial recruiting May 2020,"ASC09, HIV protease inhibitor","NCT04261907

NCT04261270",Unknown,,Treatment of HIV/AIDS,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,5/7/2020
Roche; REMAP-CAP global trial,Treatment,Antivirals,Clinical,"REMAP-CAP trial recruiting May 2020
","Tamiflu (oseltamivir), neuraminidase inhibitor","NCT04303299

NCT04255017        

NCT04261270

NCT02735707

NCT04338698

NCT04371601",Unknown,"medRxiv (https://doi.org/10.1101/2020.03.28.20045955)       

medRxiv (https://doi.org/10.1101/2020.04.11.20056523)",,"FDA-approved since 1999, approved to treat and prevent influenza",https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,5/7/2020
"Plan Nacional sobre el Sida
",Treatment,Antivirals,Clinical,Phase III trial recruiting May 2020,"Truvada (emtricitabine and tenofovir, both HIV-1 nucleoside analog reverse transcriptase inhibitors)","ChiCTR2000029468

NCT04334928",Unknown,,,"FDA-approved since 2004, approved to treat and prevent HIV-1 infection",https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,5/7/2020
Bausch Health,Treatment,Antivirals,Clinical,Phase II recruiting May 2020; Individual patient expanded access,Virazole (ribavirin for inhalation solution),NCT04356677,Unknown,,,"FDA-approved since 1985, approved to treat lower respiratory tract infections due to RSV",https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,5/7/2020
Atea Pharmaceuticals,Treatment,Antivirals,Clinical,Phase II trial to start May 2020,"AT-527, oral purine nucleotide prodrug",NCT04396106,Unknown,,Treatment of Hepatitis C infections,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,5/21/2020
Ascletis / Chinese research sponsors,Treatment,Antivirals,Clinical,Small open label trial completed and results released in March 2020; Larger open label trial recruiting May 2020,"Ganovo (danoprevir), hepatitis C virus NS3 protease inhibitor; ritonavir; interferon, approved in China to treat Hepatitis C","NCT04291729

NCT04345276",Unknown,medRxiv (https://doi.org/10.1101/2020.03.22.20034041),"Treatment of Hepatitis C
",N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,5/7/2020
Cidara Therapeutics,Treatment,Antivirals,Pre-clinical,Unknown,antiviral Fc conjugates,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
Gilead; World Health Organization SOLIDARITY trial; National Institute of Allergy and Infectious Diseases (NIAID)'s Adaptive COVID-19 Treatment Trial; Feinstein Institutes,Treatment,Antivirals,Clinical,"EU grants conditional authorization July 3, 2020; Gilead starting Phase I of inhalant version in June 2020; Gilead starting Phase II/III trial in pediatric patients in June 2020; FDA issued an Emergency Use Authorization on May 1, 2020; Expanded access protocols","remdesivir, nucleotide analog","NCT04257656, NCT04252664, NCT04292730, NCT04292899, NCT04280705, EudraCT 2020-000936-23, NCT04315948, NCT04302766, NCT04323761, NCT04349410, NCT04401579",Unknown,"NEJM (https://www.nejm.org/doi/full/10.1056/NEJMoa2007016), NEJM (https://www.nejm.org/doi/full/10.1056/NEJMoa2001191), Stat News (https://www.statnews.com/2020/04/16/early-peek-at-data-on-gilead-coronavirus-drug-suggests-patients-are-responding-to-treatment/), Reuters (https://www.reuters.com/article/us-health-coronavirus-gilead-sciences/gilead-disputes-report-that-coronavirus-drug-trial-flopped-idUSKCN225326), Stat (https://www.statnews.com/2020/04/23/data-on-gileads-remdesivir-released-by-accident-show-no-benefit-for-coronavirus-patients/), medRxiv (https://doi.org/10.1101/2020.04.21.20066761), Gilead (https://www.businesswire.com/news/home/20200429005424/en/Gilead-Announces-Results-Phase-3-Trial-Investigational), NIAID (https://www.niaid.nih.gov/news-events/nih-clinical-trial-shows-remdesivir-accelerates-recovery-advanced-covid-19?utm_campaign=+42538088&utm_content=&utm_medium=email&utm_source=govdelivery&utm_term=), Lancet (https://doi.org/10.1016/S0140-6736(20)31022-9), medRxiv (https://doi.org/10.1101/2020.05.02.20088559), NEJM (https://www.nejm.org/doi/full/10.1056/NEJMoa2007764?query=featured_home), Gilead (https://www.gilead.com/news-and-press/press-room/press-releases/2020/6/gilead-announces-results-from-phase-3-trial-of-remdesivir-in-patients-with-moderate-covid-19), NEJM (https://www.nejm.org/doi/full/10.1056/NEJMoa2007016), medRxiv (https://doi.org/10.1101/2020.05.17.20104711), medRxiv (https://doi.org/10.1101/2020.06.03.20121558), medRxiv (https://doi.org/10.1101/2020.05.26.20109595), medRxiv (https://doi.org/10.1101/2020.05.23.20110932), medRxiv (https://doi.org/10.1101/2020.06.15.20131227), medRxiv (https://doi.org/10.1101/2020.06.15.20132407), medRxiv (https://doi.org/10.1101/2020.06.22.20136531)",Treatment of Ebola,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/7/2020
"Multiple global research sponsors
",Treatment,Antivirals,Clinical,Phase IV trials recruiting May 2020,"Arbidol (umifenovir), licensed in Russia and China for treatment of respiratory viral infections","NCT04252885

NCT04350684 

NCT04286503

NCT04260594

NCT04273763",Unknown,"medRxiv (https://doi.org/10.1101/2020.03.19.20038984)       Chinese Journal of Infectious Diseases (http://rs.yiigle.com/yufabiao/1182592.htm)     medRxiv (https://doi.org/10.1101/2020.03.17.20037432)       medRxiv (https://doi.org/10.1101/2020.03.28.20045955)       medRxiv (https://doi.org/10.1101/2020.04.08.20057539)        medRxiv (https://doi.org/10.1101/2020.04.06.20042580)       medRxiv (https://doi.org/10.1101/2020.04.11.20056523)medRxiv (https://doi.org/10.1101/2020.04.25.20079079), medRxiv (https://doi.org/10.1101/2020.06.09.20076646), medRxiv (https://doi.org/10.1101/2020.05.30.20117598)",,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/16/2020
"Multiple global research sponsors
",Treatment,Antivirals,Clinical,Phase III trials recruiting May 2020,"Prezcobix (darunavir, HIV-1 protease inhibitor/cobicistat, CYP3A inhibitor)","ChiCTR2000029541 

NCT04252274

NCT04303299

NCT04304053",Unknown,,,"FDA-approved since 2015, approved to treat HIV-1 infection",https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,5/20/2020
Global hospital testing (AbbVie); World Health Organization SOLIDARITY trial (studying lopinavir/ ritonavir with and without interferon beta); University of Oxford RECOVERY trial; REMAP-CAP global trial,Treatment,Antivirals,Clinical,WHO discontinues lopinavir-ritonavir arm in the SOLIDARITY trial July 2020; RECOVERY trial results released June 2020 and stopped that trial arm,"Kaletra/Aluvia (lopinavir/ritonavir), HIV-1 protease inhibitor","NCT04303299

NCT04255017

ChiCTR2000029548

ChiCTR2000029539

EudraCT 2020-000936-23

NCT04307693

NCT04315948

NCT04252885

NCT04276688

NCT02735707

NCT04321993

2020-001113-21

NCT04286503

NCT04328012

NCT04346147",UK Government (University of Oxford RECOVERY trial); Life Arc (FLARE trial),"NEJM (https://www.nejm.org/doi/pdf/10.1056/NEJMoa2001282?articleTools=true)medRxiv (https://doi.org/10.1101/2020.03.19.20038984)Chinese Journal of Infectious Diseases (http://rs.yiigle.com/yufabiao/1182592.htm)medRxiv (https://doi.org/10.1101/2020.03.28.20045955)medRxiv (https://doi.org/10.1101/2020.04.08.20057539)medRxiv (https://doi.org/10.1101/2020.04.21.20066761)medRxiv (https://doi.org/10.1101/2020.04.25.20079079)medRxiv (https://doi.org/10.1101/2020.04.24.20077735)The Lancet (https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(20)31042-4/fulltext) medRxiv (https://doi.org/10.1101/2020.05.13.20094193), medRxiv (https://doi.org/10.1101/2020.05.18.20105650), medRxiv (https://doi.org/10.1101/2020.06.05.20123299), medRxiv (https://doi.org/10.1101/2020.05.27.20114470), medRxiv (https://doi.org/10.1101/2020.06.16.20133298), Recovery Trial press release (https://www.recoverytrial.net/news/no-clinical-benefit-from-use-of-lopinavir-ritonavir-in-hospitalised-covid-19-patients-studied-in-recovery), WHO (https://www.who.int/news-room/detail/04-07-2020-who-discontinues-hydroxychloroquine-and-lopinavir-ritonavir-treatment-arms-for-covid-19)",,"FDA-approved since 2000, approved to treat HIV-1 infection",https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/7/2020
"Stanford
  University/ US Department of Energy's Lawrence Berkeley National Laboratory",Treatment,Antivirals,Pre-clinical,Unknown,Prophylactic antiviral CRISPR in human cells (PAC-MAN),,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/9/2020
"Anivive
  Lifesciences",Treatment,Antivirals,Pre-clinical,,"GC376, protease inhibitor",,,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/17/2020
Lattice Biologics,Treatment,Cell-based therapies,Clinical,Phase I enrolling April 2020,"AmnioBoost, concentrated allogeneic MSCs and cytokines derived from amniotic fluid",,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,4/23/2020
Naturecell,Treatment,Cell-based therapies,Clinical,Phase I/IIa trial approved by South Korea Ministry of Food and Drug Safety in March 2020,"Astrostem-V, Allogenic, adipose-derived mesenchymal stem cells (HB-adMSCs)",,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,5/7/2020
ImmunityBio / NantKwest / Be The Match BioTherapies,Treatment,Cell-based therapies,Pre-clinical,Phase Ib trial to start June 2020,Bone marrow-derived allogenic mesenchymal stem cells (BM-Allo-MSC),,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/17/2020
Numerous trials with global research sponsors,Treatment,Cell-based therapies,Clinical,Phase I trials ongoing May 2020; Phase I/II trials recruiting May 2020; Phase II/III trial recruiting May 2020,Mesenchymal stem cells,"30 trials listed in clinicaltrials.gov

ChiCTR2000029990

NCT04315987

NCT04302519

NCT04288102

NCT04313322

NCT04273646

NCT04371601

NCT04315987

NCT04252118

NCT04336254

NCT04339660

NCT04371601

NCT04366063",Unknown,"Aging and Disease (http://www.aginganddisease.org/article/0000/2152-5250/ad-0-0-216.shtml)       

ChinaXiv (http://chinaxiv.org/abs/202002.00084)",,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,5/8/2020
Hope Biosciences,Treatment,Cell-based therapies,Clinical,Phase II started in April 2020,"Allogenic, adipose-derived mesenchymal stem cells (HB-adMSCs)","NCT04348435

NCT04349631

NCT04362189",Hope Biosciences Stem Cell Research Foundation,,Rheumatoid arthritis,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,4/24/2020
ImmunityBio / NantKwest,Treatment,Cell-based therapies,Pre-clinical,Pre-IND submitted to FDA in May 2020,"haNK, natural killer cells",,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/17/2020
Mesoblast/ Cardiothoracic Surgical Trials Network,Treatment,Cell-based therapies,Clinical,Individual patient expanded access; Expanded access protocols; Individual patient expanded access data shared April 2020; Phase III trial recruiting May 2020,"Ryoncil (remestemcel-L), allogenic mesenchymal stem cells","NCT04366830

NCT04371393",Unknown,Mesoblast (http://investorsmedia.mesoblast.com/static-files/337e723a-340d-493e-a4a1-0971d2c71460),"Graft versus host disease and other rare diseases, chronic obstructive pulmonary disease",N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,5/7/2020
Athersys / The University of Texas Health Science Center at Houston,Treatment,Cell-based therapies,Clinical,Phase II/III trial recruiting May 2020,"MultiStem, bone marrow stem cells",NCT04367077,Medical Technology Enterprise Consortium (MTEC),,Acute Respiratory Distress Syndrome; Stroke,,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,5/10/2020
AlloVir / Baylor College of Medicine,Treatment,Cell-based therapies,Pre-clinical,Unknown,Allogeneic T-cell therapies,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
Celltex,Treatment,Cell-based therapies,Clinical,"FDA approves Phase II trial on June 26, 2020",Autologous Adipose-Tissue Derived Mesenchymal Stem Cells (ADMSCs),NCT04428801,Unknown,"Celltex (https://celltexbank.com/transplantation-of-ace2-mesenchymal-stem-cells-improves-the-outcome-of-patients-with-covid-19-pneumonia/)

Celltex (https://celltexbank.com/chinaxiv-reports-clinical-remission-of-a-critically-ill-covid-19-patient-treated-by-human-umbilical-cord-mesenchymal-stem-cells/)","Injuries, Pain, and Autoimmune, Vascular and Other Disease, including Inflammatory lung conditions, pneumonia, and chronic obstructive pulmonary disease (COPD)",N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/30/2020
Celularity/ Lung Biotechnology PBC,Treatment,Cell-based therapies,Clinical,Phase I/II study not yet recruiting May 2020,"CYNK-001, allogeneic, natural killer cell therapy",NCT04365101,Unknown,,Various hematologic cancers and solid tumors,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,5/7/2020
Capricor Inc.,Treatment,Cell-based therapies,Clinical,Expanded access protocol trial ongoing May 2020,"CAP-1002, allogenic cardiosphere-derived cells",NCT04338347,Unknown,,Duchenne muscular dystrophy,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,5/7/2020
Pluristem Therapeutics/BIH Center for Regenerative Therapy / Berlin Center for Advanced Therapies,Treatment,Cell-based therapies,Clinical,Results from individual patient expanded access released in April 2020,"PLX cell product, placenta-based cell therapy",,Unknown,Pluristem Therapeutics (https://www.pluristem.com/wp-content/uploads/2020/04/PSTI-PR-Follow-up-on-Covid-19-treatments-FINAL-FOR-RELEASE.pdf),"Various conditions
",N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,5/8/2020
Duke-NUS Medical School,Treatment,Cell-based therapies,Pre-clinical,Unknown,Chimeric antigen receptors (CAR)/T cell receptors (TCR)-T cell therapy ,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,4/30/2020
GC LabCell / KLEO Pharmaceuticals,Treatment,Cell-based therapies,Pre-clinical,Begin Phase I by end of 2020,Natural killer cell-based therapy,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
SMSbiotech,Treatment,Cell-based therapies,Pre-clinical,Unknown,Small mobile stem (SMS) cells,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/9/2020
"AgeX
  Therapeutics/ ImStem Biotechnology",Treatment,Cell-based therapies,Pre-clinical,,"IMS001, human embryonic stem cell-derived mesenchymal stem cells (hES-MSC)",,,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/17/2020
Sirnaomics,Treatment,RNA-based treatments,Pre-clinical,Unknown,RNAi - testing 150 RNAis,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
Vir Biotech / Alnylam Pharmaceuticals,Treatment,RNA-based treatments,Pre-clinical,Phase I to start by the end of 2020,VIR-2703 (ALN-COV) siRNA candidate,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,5/5/2020
Mateon Therapeutics,Treatment,RNA-based treatments,Clinical,"Phase II study IND submitted to FDA on April 27, 2020","OT-101, a TGF-Beta antisense drug candidate",,Unknown,,Various cancers,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,5/7/2020
Neurimmune / Ethris,Treatment,RNA-based treatments,Pre-clinical,Phase I to start Q4 2020,Inhaled mRNA,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
